Title,Genre,Author,Link,Image,Rating
The Color of Everything: A Journey to Quiet the Chaos Within,Art,Jackie Wullschläger,https://www.goodreads.com/book/show/199373502-the-color-of-everything,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1705382948l/199373502._SY475_.jpg,4.21
The Nude,Art,Jackie Wullschläger,https://www.goodreads.com/book/show/199532684-the-nude,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697121635l/199532684._SY475_.jpg,3.72
"The Future Was Now: Madmen, Mavericks, and the Epic Sci-Fi Summer of 1982",Art,Jackie Wullschläger,https://www.goodreads.com/book/show/58725001-the-future-was-now,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696562077l/58725001._SY475_.jpg,4.26
Do Something: Coming of Age Amid the Glitter and Doom of '70s New York,Art,Jackie Wullschläger,https://www.goodreads.com/book/show/121312704-do-something,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1713363345l/121312704._SY475_.jpg,3.81
The Last Sane Woman,Art,Jackie Wullschläger,https://www.goodreads.com/book/show/199775178-the-last-sane-woman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701493452l/199775178._SY475_.jpg,3.68
Henna Is . . .,Art,Jackie Wullschläger,https://www.goodreads.com/book/show/180723951-henna-is,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703608495l/180723951._SX318_.jpg,4.36
"A Death in Cornwall (Gabriel Allon, #24)",Art,Unknown Author,https://www.goodreads.com/book/show/199981527-a-death-in-cornwall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1713457719l/199981527.jpg,4.44
Horse,Art,Unknown Author,https://www.goodreads.com/book/show/59109077-horse,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639948376l/59109077.jpg,4.27
The Book of Bill (Gravity Falls),Art,Unknown Author,https://www.goodreads.com/book/show/203315037-the-book-of-bill,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1702662879l/203315037._SX318_.jpg,4.58
The Paris Novel,Art,Unknown Author,https://www.goodreads.com/book/show/195430688-the-paris-novel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693835272l/195430688._SY475_.jpg,3.84
